timesteps,reward
784,-41.95000000000001
784,-21.69999999999997
784,-37.15
1024,-65.75000000000004
1296,-102.30000000000021
1600,-118.55000000000015
1600,-112.65000000000005
1936,-228.14999999999958
2080,-167.70000000000016
2320,-43.60000000000004
2320,-67.10000000000008
2384,-27.499999999999968
2720,-24.49999999999998
2720,-290.49999999999966
2720,-199.89999999999972
2864,-24.549999999999983
3344,-94.7000000000001
3408,-78.75000000000003
3504,-34.64999999999996
3536,-196.29999999999987
4192,-26.149999999999995
4256,-217.70000000000002
4320,-241.4999999999998
4464,-162.14999999999984
4560,-51.300000000000004
4640,-87.70000000000005
4656,-225.14999999999955
5440,-166.04999999999984
5584,-86.45000000000012
5664,-78.75000000000009
6128,-136.15000000000026
6192,-196.69999999999928
6256,-232.84999999999945
6256,-120.25000000000024
6400,-211.1499999999999
6448,-35.60000000000001
7184,-21.749999999999975
7376,-183.84999999999962
7424,-105.20000000000009
7520,-197.04999999999973
7552,-60.700000000000124
7744,-89.05000000000011
8128,-264.24999999999955
8160,-23.849999999999984
8192,-333.4999999999991
8304,-35.89999999999999
8424,-86.05000000000004
8576,-35.34999999999998
8784,-179.8499999999999
8912,-30.19999999999998
8944,-30.099999999999973
9360,-26.99999999999999
9600,-123.30000000000021
9680,-309.9499999999994
9720,-118.90000000000015
9792,-162.00000000000003
9936,-27.349999999999984
10144,-39.249999999999986
10240,-117.20000000000012
10384,-121.40000000000016
10384,-54.30000000000002
10720,-29.199999999999974
11152,-107.80000000000001
11168,-25.899999999999974
11264,-52.150000000000006
11280,-174.50000000000006
11320,-108.85000000000024
11448,6.15
11680,-87.05000000000014
11744,-193.80000000000007
11936,-26.449999999999992
12016,-92.90000000000008
12616,-85.00000000000013
12864,-207.69999999999993
13040,-173.24999999999952
13040,-35.149999999999984
13048,-142.45000000000002
13344,-194.34999999999985
13616,-178.99999999999994
13832,-19.299999999999994
13872,-278.79999999999944
14216,-118.60000000000025
14464,-164.20000000000007
14592,-133.69999999999982
14640,-137.5000000000001
14640,-79.90000000000002
14640,-145.49999999999997
15128,-100.25000000000013
15240,-68.60000000000004
15424,-29.499999999999975
15472,-136.00000000000009
